,mark,price,produced_year,imported_year,type,hurd,hodolguur,distance_num,motor_vol
0,Subaru Forester,40.0,2017,2019,Жийп,False,Бензин,93000.0,2.0
1,Toyota Prius 20,8.0,2004,2015,Суудлын тэрэг,False,Хайбрид,1111111.0,1.0
2,Toyota Alphard,43.0,2013,2022,Гэр бүлийн,False,Бензин,154279.0,2.0
3,Toyota Harrier,22.0,2009,2013,Жийп,False,Бензин,150000.0,3.0
4,Toyota Land Cruiser Prado,101.0,2016,2024,Жийп,False,Бензин,54000.0,2.0
5,Nissan NV200,15.0,2013,2024,Суудлын тэрэг,False,Бензин,250000.0,1.0
6,Subaru XV Crosstrek,35.0,2018,2024,Гэр бүлийн,False,Бензин,150000.0,2.0
7,Lexus IS,40.5,2014,2024,Суудлын тэрэг,False,Хайбрид,160000.0,2.0
8,Toyota Prius 20,20.3,2007,2023,Суудлын тэрэг,False,Хайбрид,74000.0,1.0
9,Lexus IS,40.0,2014,2020,Суудлын тэрэг,False,Хайбрид,147000.0,2.0
10,Toyota Alphard,15.8,2006,2018,Гэр бүлийн,False,Хайбрид,200000.0,2.0
11,Mercedes-Benz G-Class,680.0,2022,2022,Жийп,True,Бензин,14000.0,4.0
12,Lexus HS,29.8,2012,2023,Суудлын тэрэг,False,Хайбрид,145000.0,2.0
13,Toyota Kluger,30.0,2005,2022,Жийп,False,Хайбрид,148500.0,3.0
14,Toyota Land Cruiser 300,220.0,2024,2024,Жийп,True,Бензин,9000.0,4.0
15,Toyota Prius 30,24.5,2012,2024,Суудлын тэрэг,False,Хайбрид,192000.0,1.0
16,Toyota Prius 20,8.0,2006,2013,Суудлын тэрэг,False,Бензин,123000.0,1.0
17,Lexus LX,110.0,2009,2010,Жийп,True,Бензин,106000.0,5.0
18,Toyota Harrier,28.0,2009,2016,Жийп,False,Хайбрид,1000.0,3.0
19,Toyota Prius 30,26.0,2014,2024,Суудлын тэрэг,False,Хайбрид,151000.0,1.0
20,Toyota Prius 20,9.0,2004,2024,Суудлын тэрэг,False,Хайбрид,150000.0,1.0
21,Toyota Prius 20,12.6,2003,2019,Суудлын тэрэг,False,Хайбрид,240000.0,1.0
22,Toyota Prius 40,31.5,2013,2024,Суудлын тэрэг,False,Хайбрид,129461.0,1.0
23,Suzuki Jimny,60.0,2020,2020,Суудлын тэрэг,True,Бензин,37500.0,1.0
24,Toyota Vitz,10.5,2012,2018,Суудлын тэрэг,False,Бензин,120000.0,1.0
25,Toyota Wish,23.0,2013,2022,Гэр бүлийн,False,Бензин,180000.0,1.0
26,Lexus RX,99.0,2016,2024,Жийп,False,Хайбрид,104000.0,3.0
27,Toyota Land Cruiser 300,295.0,2023,2024,Жийп,True,Бензин,500000.0,3.0
28,Toyota Fielder,23.9,2014,2023,Суудлын тэрэг,False,Хайбрид,155000.0,1.0
29,Toyota Prius 30,24.0,2012,2022,Суудлын тэрэг,False,Хайбрид,230000.0,1.0
30,Toyota Prius 20,7.6,2004,2012,Суудлын тэрэг,False,Хайбрид,50000.0,1.0
31,Toyota Camry,39.9,2016,2022,Суудлын тэрэг,False,Хайбрид,150000.0,2.0
32,Toyota Harrier,22.0,2005,2015,Суудлын тэрэг,False,Бензин,250000.0,2.0
33,Toyota Crown,48.0,2015,2023,Суудлын тэрэг,False,Хайбрид,146000.0,2.0
34,Toyota Prius 20,11.0,2007,2016,Суудлын тэрэг,False,Хайбрид,11111.0,1.0
35,Toyota Sai,22.0,2010,2022,Суудлын тэрэг,False,Бензин,200000.0,2.0
36,Toyota Prius 30,19.5,2012,2021,Суудлын тэрэг,False,Бензин,1800000.0,1.0
37,Subaru XV Crosstrek,42.0,2017,2022,Суудлын тэрэг,False,Бензин,61100.0,2.0
38,Toyota Vellfire,65.0,2016,2022,Гэр бүлийн,False,Хайбрид,163112.0,2.0
39,Toyota Prius 40,28.8,2014,2024,Суудлын тэрэг,False,Хайбрид,155000.0,1.0
40,Mercedes-Benz CLA-Class,59.9,2014,2022,Суудлын тэрэг,True,Бензин,89000.0,2.0
41,Mitsubishi Бусад,98.0,1996,2020,Гэр бүлийн,False,Дизель,200000.0,4.0
42,Toyota FJ Cruiser,90.0,2011,2023,Жийп,True,Бензин,1600000.0,4.0
43,Lexus RX,77.0,2014,2023,Жийп,False,Хайбрид,115000.0,3.0
44,Mercedes-Benz CLK-Class,33.0,2009,2013,Суудлын тэрэг,True,Бензин,100000.0,3.0
45,Hummer H-3,52.0,2006,2024,Жийп,True,Бензин,128000.0,3.0
46,Toyota Prius 10,4.5,2002,2012,Суудлын тэрэг,False,Хайбрид,12345.0,1.0
47,Toyota Fielder,22.8,2014,2024,Суудлын тэрэг,False,Хайбрид,142000.0,1.0
48,Toyota Prius 30,16.5,2012,2020,Суудлын тэрэг,False,Бензин,200000.0,1.0
49,Toyota Prius 50,32.0,2016,2024,Суудлын тэрэг,False,Хайбрид,166000.0,1.0
50,Toyota Prius 20,8.5,2004,2015,Суудлын тэрэг,False,Хайбрид,180000.0,1.0
51,Volkswagen GTI,20.0,2012,2019,Суудлын тэрэг,False,Бензин,130000.0,1.0
52,Toyota Prius 20,12.9,2008,2017,Суудлын тэрэг,False,Хайбрид,190000.0,1.0
53,Toyota Harrier,55.0,2014,2024,Жийп,False,Хайбрид,130000.0,2.0
54,Toyota Prius 40,28.8,2013,2024,Суудлын тэрэг,False,Хайбрид,107000.0,1.0
55,Ford Transit,80.0,2014,2023,Гэр бүлийн,True,Дизель,180000.0,2.0
56,Toyota Prius 40,28.0,2011,2024,Суудлын тэрэг,False,Хайбрид,230000.0,1.0
57,Toyota Prius 20,9.2,2008,2014,Суудлын тэрэг,True,Хайбрид,185000.0,1.0
58,Toyota Prius 30,21.5,2012,2022,Суудлын тэрэг,False,Бензин,120000.0,1.0
59,Hyundai Grandeur,42.0,2017,2024,Суудлын тэрэг,True,Бензин,95000.0,2.0
60,Nissan NV200,14.8,2013,2024,Гэр бүлийн,False,Бензин,169000.0,1.0
61,Nissan Pathfinder,18.0,2006,2006,Жийп,True,Дизель,120000.0,2.0
62,Toyota Prius 40,27.0,2012,2021,Суудлын тэрэг,False,Хайбрид,170000.0,1.0
