name	brand	sale_day	sale_price	description	weight
Пянз тоглуулагч Lenco	Lenco	55	299,970₮	-50%	3.1
Пянз тоглуулагч Lenco	Lenco	55	299,970₮	-50%	3.1
Аяга таваг угаагч	SAMSUNG	22	1,099,970₮	-48%	6
Чихэвч PROMATE Travi	PROMATE	55	9,987₮	-45%	04HDPRTRVR
Чихэвч Promate GearPod-IS2	PROMATE	55	12,970₮	-44%	GearPod-IS2
Чихэвч Promate GearPod-IS2	PROMATE	55	12,970₮	-44%	0.04
Gaming Чихэвч Vertux	VERTUX	55	89,970₮	-44%	0.72
массажны сандал Enjoy	ENJOY	55	730,970₮	-43%	25
Мөс хийгч GORENJE	GORENJE	55	339,970₮	-43%	8.5
Gaming Чихэвч Vertux	VERTUX	55	129,970₮	-43%	0.72
Тоос сорогч SAMSUNG VC18M31C0HG/EV	SAMSUNG	00	349,990₮	-42%	Хар саарал
Кофе бэлтгэгч KRUPS	KRUPS	55	699,970₮	-42%	Сүү хөөрүүлэгчтэй
Хутгагч GORENJE M460CDC	GORENJE	55	99,970₮	-41%	Байхгүй
Комбайн GORENJE MMC1000RLR	GORENJE	55	819,970₮	-41%	1000вт
Чихэвч House of Marley	The House of Marley	55	339,970₮	-41%	04HDHOMJH141SB
Ус буцалгагч GORENJE	GORENJE	55	129,970₮	-41%	800Вт
Чихэвч Promate Phonic	PROMATE	55	17,970₮	-40%	0.07
Чихэвч Promate Lingo-C	PROMATE	55	23,970₮	-40%	0.06
Чихэвч Promate Lingo-C	PROMATE	55	23,970₮	-40%	0.06
Чихэвч Promate Laboca	PROMATE	55	59,970₮	-40%	Laboca
Кофе машин BEKO	BEKO	55	1,249,970₮	-40%	7.8кг
Чихэвч PROMATE Duet	PROMATE	55	11,970₮	-40%	0.08
Ус буцалгагч GORENJE	GORENJE	55	209,970₮	-40%	2200Вт
Чихэвч Promate Duet	PROMATE	55	11,970₮	-40%	0.12
Чихэвч Promate Ingot	PROMATE	55	11,970₮	-40%	0.04
Үсний сэнс PHILIPS	PHILIPS	11	119,990₮	-40%	04HAPH340/10
Чихэвч House of Marley	The House of Marley	55	119,970₮	-40%	04HDHOMJE113SB
Чихэвч House of Marley	The House of Marley	55	119,970₮	-40%	04HDHOMJE113RA
Чихэвч House of Marley	The House of Marley	55	119,970₮	-40%	04HDHOMJE113CP
Чихэвч PROMATE Laboca	PROMATE	55	59,970₮	-40%	0.3
Чихэвч PROMATE Ingot	PROMATE	55	11,970₮	-40%	04HDPRIGS
Тоос сорогч GORENJE VCEA01GACBUCY	GORENJE	55	269,970₮	-40%	Цэнхэр
Грилл GORENJE GCG2100S	GORENJE	55	409,970₮	-39%	2100Вт
Компьютерын хулгана Vertux	VERTUX	55	54,970₮	-39%	0.29
Гар тоос сорогч GORENJE	GORENJE	55	849,970₮	-39%	Хар
Кофе чанагч KRUPS	KRUPS	55	619,970₮	-38%	3.5 кг
Шүүс шахагч GORENJE	GORENJE	55	49,970₮	-38%	40Вт
Хөргөгч SAMSUNG RB33A32N0SA/WT	SAMSUNG	22	1,799,970₮	-38%	Доороо хөлдөөгчтэй
Тоос сорогч GORENJE VCE03SPRCY	GORENJE	55	319,970₮	-38%	Улаан
Кофе машин KRUPS	KRUPS	55	1,799,970₮	-38%	5кг
Gaming mouse Vertux	VERTUX	55	89,970₮	-38%	0.108
Чихэвч Promate 1.3м	PROMATE	55	74,970₮	-38%	0.3
Кофе бэлтгэгч KRUPS	KRUPS	55	799,970₮	-38%	4.2 кг
Чихэвч Promate Blend	PROMATE	55	69,970₮	-37%	0.15
Чихэвч Promate Blend	PROMATE	55	69,970₮	-37%	0.15
Талх баригч Moulinex	MOULINEX	55	519,970₮	-37%	31х29х29см
Хутгагч GORENJE M550CSDC	GORENJE	55	119,970₮	-37%	Байхгүй
Гар тоос сорогч GORENJE	GORENJE	55	439,970₮	-37%	Цагаан
Тоос сорогч SAMSUNG VCC4520S36/XEV	SAMSUNG	00	219,990₮	-37%	Цэнхэр
Тоос сорогч GORENJE VCEA03GALBKCY	GORENJE	55	409,970₮	-37%	Хар
Комбайн Russell Hobbs	RUSSELL HOBBS	55	449,970₮	-36%	1.8
Чихэвч Promate Nova	PROMATE	55	69,970₮	-36%	0.8
Чихэвч Promate Nova	PROMATE	55	69,970₮	-36%	0.8
Чихэвч Promate Nova	PROMATE	55	69,970₮	-36%	0.8
Хөргөгч SAMSUNG RB33A3440SA/WT	SAMSUNG	22	1,899,970₮	-36%	Доороо хөлдөөгчтэй
Кофе чанагч KRUPS	KRUPS	55	2,499,970₮	-36%	8 кг
Чихэвч House of Marley	The House of Marley	55	57,970₮	-36%	04HDHOMDE041DN
Чихэвч House of	The House of Marley	55	579,970₮	-36%	04HDHOMDE021SB
Талх баригч MOULINEX	MOULINEX	55	699,970₮	-36%	31х29х29см
Тавцан плитка Hansa	Hansa	55	849,970₮	-35%	Керамик
Угаалгын машин/Хатаагч SAMSUNG	SAMSUNG	22	1,699,970₮	-35%	Бүрэн автомат
Цахилгаан камен зуух	ENJOY	55	849,970₮	-35%	33
Шүд буйл цэвэрлэгч	PHILIPS	55	365,970₮	-35%	HX3806/31
Хутгагч GORENJE M400ORAB	GORENJE	55	109,970₮	-35%	Байхгүй
Хөргөгч LG GC-B257JLYV	LG	00	3,179,990₮	-35%	Side-by-Side
Комбайн Russell Hobbs	RUSSELL HOBBS	55	319,970₮	-35%	Мөнгөлөг
Шарах шүүгээ BEKO	BEKO	55	1,099,970₮	-35%	71 л
Чихэвч PROMATE Laboca	PROMATE	55	64,970₮	-35%	04HDPRLBCBU
Тоос сорогч GORENJE VCEB01GAWWF	GORENJE	55	449,970₮	-35%	Цагаан
Чихэвч Promate GearpodLT	PROMATE	55	79,970₮	-34%	0.01
Зурагт SAMSUNG UE50BU8000UXCE	SAMSUNG	00	1,989,970₮	-34%	50 инч
Угаалгын машин BEKO	BEKO	55	1,379,970₮	-34%	Бүрэн автомат
Холигч MOULINEX LM420110	MOULINEX	55	229,970₮	-34%	Цагаан
Кофе чанагч GORENJE TCM330W	GORENJE	55	99,970₮	-33%	1 кг
Кофе чанагч GORENJE TCM330B	GORENJE	55	99,970₮	-33%	TCM330B
Кофе чанагч KRUPS XN890810	KRUPS	55	1,799,970₮	-33%	3.8кг
Кофе чанагч KRUPS	1220921	55	3,999,970₮	-33%	8.4 кг
Чихэвч Promate Phonic	PROMATE	55	19,970₮	-33%	0.07
Тоос сорогч SAMSUNG VC18M21C0VR/EV	SAMSUNG	00	348,990₮	-33%	Улаан
Үсний ком PHILIPS	PHILIPS	55	154,970₮	-33%	BHP398/00
Компьютерын хулгана PROMATE	PROMATE	55	24,970₮	-33%	0.15
Индукцэн плитка SAMSUNG	SAMSUNG	22	1,199,970₮	-33%	Индукц
Аяга таваг ариутгагч	Heimchef	55	199,970₮	-33%	3.5
Цахилгаан камен зуух	ENJOY	55	799,970₮	-33%	37
Угаалгын машин BEKO	BEKO	55	1,399,970₮	-33%	Бүрэн автомат
Чихэвч Mi ZBW4355TY	MI	55	19,970₮	-33%	0.3
Тоос сорогч SAMSUNG VC18M21A0SB/EV	SAMSUNG	00	299,990₮	-33%	Цэнхэр
Тоос сорогч PHILIPS FC9350/01	PHILIPS	55	499,990₮	-33%	Цэнхэр
Ус буцалгагч ENJOY	ENJOY	00	99,970₮	-33%	17LSS1
Тоос сорогч GORENJE VCEA03GAPRACY	GORENJE	55	419,970₮	-33%	Бор
Грилл GORENJE KR1800EPRO	GORENJE	55	329,970₮	-33%	1800Вт
Угаалгын машин BEKO	BEKO	55	1,089,970₮	-32%	WSRE6H612ZAWI
Зурагт MI P1	MI	33	1,499,990₮	-32%	50 инч
Зурагт MI P1	MI	33	1,699,990₮	-32%	55 инч
Угаалгын машин BEKO	BEKO	55	1,049,970₮	-32%	Бүрэн автомат
Хиншүү сорогч BEKO	BEKO	55	749,970₮	-32%	Шаргал
Шарах шүүгээ GORENJE	GORENJE	55	1,299,970₮	-32%	71 л
Шарах шүүгээ GORENJE	GORENJE	55	1,149,970₮	-32%	71 л
Шарах шүүгээ GORENJE	GORENJE	55	949,970₮	-32%	71 л
Ус буцалгагч Tefal	TEFAL	55	169,970₮	-32%	6.4
Gaming Чихэвч Vertux	VERTUX	55	79,970₮	-32%	0.3
Аяга таваг угаагч	SAMSUNG	22	1,299,970₮	-32%	5
Чихэвч PROMATE Laboca	PROMATE	55	67,970₮	-32%	0.43
Зурагт LG 75UR81006LJ	LG	33	4,799,990₮	-31%	75 инч
Аяга таваг угаагч	BEKO	55	1,249,970₮	-31%	36.6
Тавцан плитка Hansa	Hansa	55	1,099,970₮	-31%	Керамик
Хөргөгч SAMSUNG RB37A5200SA/WT	SAMSUNG	22	2,199,970₮	-31%	Доороо хөлдөөгчтэй
Индүү BEKO SGA	BEKO	55	329,970₮	-31%	2400вт
Хиншүү сорогч BEKO	BEKO	55	1,099,970₮	-31%	Саарал
Хөргөгч LG GA-B509CESL	LG	55	2,399,970₮	-31%	292 л
Тоос сорогч SAMSUNG VCC4520S3R	SAMSUNG	00	228,990₮	-31%	Улаан
Зөөврийн сэнс ENJOY	ENJOY	55	17,970₮	-31%	1.4
Хатаагч TEFAL DF100830	TEFAL	55	549,970₮	-31%	4.6
Хүзүүний массажир ENJOY	ENJOY	55	179,970₮	-31%	1.7
Үс хэлбэржүүлэгч PHILIPS	PHILIPS	11	171,990₮	-31%	0.682
Хөргөгч LG GC-Q22FTBKL	LG	55	4,689,970₮	-31%	Side-by-Side
Тоос сорогч SAMSUNG VC15K4116VR/XEV	SAMSUNG	00	488,990₮	-30%	Улаан
Хөргөгч SAMSUNG RB37A5200WW/WT	SAMSUNG	22	2,099,970₮	-30%	Доороо хөлдөөгчтэй
Кофе чанагч Russell	RUSSELL HOBBS	55	229,970₮	-30%	2.12
Утасгүй цэнэглэгч Baseus	BASEUS	55	59,970₮	-30%	0.06
Электрон сойз PHILIPS	PHILIPS	55	209,970₮	-30%	0.35
Гар тоос сорогч DYSON	DYSON	55	2,299,970₮	-30%	Нил ягаан
Талх шарагч TEFAL	TEFAL	55	209,970₮	-30%	850вт
Индүү Russell Hobbs	RUSSELL HOBBS	55	469,970₮	-30%	Нил ягаан
Угаалгын машин Samsung	SAMSUNG	22	1,899,970₮	-30%	Бүрэн автомат
Махны машин GORENJE	GORENJE	55	419,970₮	-30%	1800Вт
Хөргөгч BOSCH KAN92VI35	BOSCH	55	6,999,970₮	-30%	120
Зөөврийн сэнс ENJOY	ENJOY	55	20,970₮	-30%	1.4
Зөөврийн сэнс ENJOY	ENJOY	55	20,970₮	-30%	1.4
Уурын индүү Russell	RUSSELL HOBBS	55	249,970₮	-29%	Хөх
Гар тоос сорогч HITACHI	HITACHI	55	1,199,970₮	-29%	Шаргал
Gaming Чихэвч Vertux	VERTUX	55	77,970₮	-29%	0.72
Gaming Чихэвч Vertux	VERTUX	55	74,970₮	-29%	0.72
Шарах шүүгээ SAMSUNG	SAMSUNG	22	1,099,970₮	-29%	68 л
Агаар чийгшүүлэгч Smart	SmartFrog	00	24,999₮	-29%	0.2
Зурагт SONY KD-50X75	SONY	33	3,199,990₮	-29%	65 инч
Үсний машин PHILIPS	PHILIPS	55	119,970₮	-29%	HC3525/15
Зурагт MI P1	MI	33	1,199,990₮	-29%	43 инч
Талх шарагч MORPHY	MORPHY RICHARDS	55	369,970₮	-29%	850вт
Талх шарагч MORPHY	MORPHY RICHARDS	55	369,970₮	-29%	850вт
XBOX MICROSOFT SERIES-S	MICROSOFT	33	1,499,990₮	-29%	XBOX Series S
Грилл RUSSELL HOBBS	RUSSELL HOBBS	55	149,970₮	-29%	1200Вт
Хөргөгч BEKO BCNA275E2S	BEKO	55	1,999,970₮	-29%	Доороо хөлдөөгчтэй
Тавцан плитка SAMSUNG	SAMSUNG	22	849,970₮	-29%	Керамик
Gaming Гар&Хулгана Vertux	VERTUX	55	99,970₮	-29%	0.16
Gaming Чихэвч Vertux	VERTUX	55	74,970₮	-29%	0.3
Тоос сорогч SAMSUNG VCC4520S3S/XEV	SAMSUNG	00	219,990₮	-29%	Мөнгөлөг
Керамик плитка MONEL	MONEL	00	99,970₮	-29%	4.4
Кофе чанагч MOULINEX FG381816	MOULINEX	55	209,970₮	-28%	1.42 кг
Чихэвч House of	House of Marley	55	299,970₮	-28%	0.1
Зурагт Samsung QE75Q60BAUXCE	SAMSUNG	33	5,799,990₮	-28%	75 инч
Gaming Чихэвч Vertux	VERTUX	55	71,970₮	-28%	0.72
Зурагт Samsung QE65LS03BAUXCE	SAMSUNG	00	5,989,970₮	-28%	65 инч
Сахлын машин PHILIPS	PHILIPS	55	264,970₮	-28%	S5444/03
Биеийн үс авагч	PHILIPS	55	231,970₮	-28%	BRL136/00
Цахилгаан камен зуух	ENJOY	55	1,149,970₮	-28%	MW14012WD
Ус буцалгагч MORPHY R	MORPHY RICHARDS	55	279,970₮	-28%	1.18
Талх шарагч MORPHY	MORPHY RICHARDS	55	309,970₮	-28%	850вт
Ус буцалгагч MORPHY R	MORPHY RICHARDS	55	279,970₮	-28%	1.18
Ус буцалгагч MORPHY	MORPHY RICHARDS	55	279,970₮	-28%	1.18
Ус буцалгагч MORPHY R	MORPHY RICHARDS	55	279,970₮	-28%	1.18
Ухаалаг суултуур DOBIDOS	Dobidos	55	639,970₮	-28%	DB-4000
Хөргөгч LG GC-B257SQZV	LG	00	3,219,990₮	-28%	Side-by-Side
Гар Холигч RUSSELL	RUSSELL HOBBS	55	209,970₮	-28%	Улаан
Ус буцалгагч RUSSELL	RUSSELL HOBBS	55	179,970₮	-28%	1
Гар тоос сорoгч DYSON	DYSON	55	3,949,970₮	-28%	Шаргал
Хөргөгч HITACHI R-VGX470PG9	HITACHI	55	3,099,970₮	-28%	297 л
Хөргөгч BEKO GN163120ZW	BEKO	55	3,099,970₮	-28%	Side-by-Side
Тавцан плитка BEKO	BEKO	55	1,299,970₮	-28%	Керамик
Комбайн Russell Hobbs	RUSSELL HOBBS	55	409,970₮	-28%	600Вт
Чихэвч House of Marley	The House of Marley	55	179,970₮	-28%	04HDHOMJE103SB
Gaming mouse Vertux	VERTUX	55	149,970₮	-28%	0.108
Зурагт MONEL LE-40N6AMN.UNI	MONEL	33	519,990₮	-28%	40 инч
Хөргөгч HITACHI R-B410PG6X	HITACHI	55	2,799,970₮	-28%	Stylish Bottom Freezer
Хөлдөөгч MONEL FRML120DXW	MONEL	55	1,299,970₮	-28%	120 л
Зурагт LG OLED65C3RLA	LG	33	7,299,990₮	-27%	65 инч
Gaming Чихэвч Vertux	VERTUX	55	79,970₮	-27%	0.72
Гар Холигч MOULINEX	MOULINEX	55	219,970₮	-27%	Цагаан
Компьютер, утасны суурь	PROMATE	55	44,970₮	-27%	0.78
Хиншүү сорогч GORENJE	GORENJE	55	1,199,970₮	-27%	16.7
Ухаалаг суултуур DOBIDOS	Dobidos	55	739,970₮	-27%	DB-8800
Ус буцалгагч MORPHY R	MORPHY RICHARDS	55	359,970₮	-27%	1.2
Ус буцалгагч MORPHY	MORPHY RICHARDS	55	359,970₮	-27%	103011
Ус буцалгагч MORPHY	MORPHY RICHARDS	55	359,970₮	-27%	1.2
Шарах шүүгээ BOSCH	BOSCH	55	2,699,970₮	-27%	71 л
Компьютерын хулгана PROMATE	PROMATE	55	26,970₮	-27%	0.15
Компьютерын хулгана PROMATE	PROMATE	55	26,970₮	-27%	0.2
Талх баригч RUSSELL	RUSSELL HOBBS	55	439,970₮	-27%	650Вт
Ус буцалгагч RUSSELL	RUSSELL HOBBS	55	159,970₮	-27%	1.2
Чихэвч PROMATE Ice	PROMATE	55	10,970₮	-27%	0.04
Хөргөгч HITACHI R-WB560PG7	HITACHI	55	4,099,970₮	-27%	343 л
